Sample,A,B,C,D,E,F,G,H
A,0.000,-,-,-,-,-,-,-
B,0.935,0.000,-,-,-,-,-,-
C,0.935,0.908,0.000,-,-,-,-,-
D,0.935,0.875,0.363,0.000,-,-,-,-
E,0.994,0.831,0.890,0.785,0.000,-,-,-
F,1.000,0.862,0.840,0.807,0.738,0.000,-,-
G,0.984,1.000,0.995,0.958,0.950,1.000,0.000,-
H,0.963,0.897,0.928,0.834,0.933,0.971,0.918,0.000
,,,,,,,,
